ID,ID_TEXT,PAGE,ChineseSimple,Chinese,English,Vietnamese,Korean,,
1,,ACCOUNTSUM_JS,,请选择开始日期！,Please select the start date!,Vui lòng chọn ngày!,,,
2,,ACCOUNTSUM_JS,,请选择结束日期,Please select the end date!,Vui lòng chọn ngày!,,,
3,,ACCOUNTSUM_JS,,开始日期不能大于结束日期！,Start date can not be earlier than end date！,Ngày bắt đầu phải trước ngày kết thúc!,,,
4,,ACCOUNTSUM_JS,,我的总帐查询,General account query,Kiểm tra tổng tài khoản,,,
5,,ACCOUNTSUM_JS,,汇总,Summary,Tổng hợp,,,
6,,ACCOUNTSUM_JS,,级  别,User Level,Cấp,,,
7,,ACCOUNTSUM_JS,,帐  号,Username,Tên tài khoản,,,
8,,ACCOUNTSUM_JS,,投注金额,Bet Amount,Tiền cược,,,
9,,ACCOUNTSUM_JS,,输赢金额,Win Loss,Thắng Thua,,,
10,,ACCOUNTSUM_JS,,洗码量,Comm Base,Cược hợp lệ,,,
11,,ACCOUNTSUM_JS,,洗码比,Comm Rate,Hoa hồng %,,,
12,,ACCOUNTSUM_JS,,洗码佣金,Comm Amount,Hoa hồng %,,,
13,,ACCOUNTSUM_JS,,总赢,Total Win,Tổng thắng,,,
14,,ACCOUNTSUM_JS,,交上线金额,Upline Share,Chia cho cấp trên,,,
15,,ACCOUNTSUM_JS,,上线获利比,Upline Share Rate,Tỷ lệ chia cấp trên,,,
16,,ACCOUNTSUM_JS,,明细列表,Detail,Chi tiết,,,
17,,ACCOUNTSUM_JS,,别  名,User Alias,Tên khác,,,
18,,ACCOUNTSUM_JS,,交上线投注金额,Upline Bet Amt,Tiền cược chia cấp trên,,,
19,,ACCOUNTSUM_JS,,交上线洗码量,Upline Comm Base,Cược hợp lệ chia cấp trên,,,
20,,ACCOUNTSUM_JS,,类别,Type,Loại,,,
21,,ACCOUNTSUM_JS,,查询,Query,Truy vấn,,,
22,,ACCOUNTSUM_JS,,币种,Currency,Tiền tệ,,,
23,,ACCOUNTSUM_JS,,单边,Single,Một bên,,,
24,,ACCOUNTSUM_JS,,双边,Bilateral,Hai bên,,,
25,,ACCOUNTSUM_JS,,直属代理商明细,Direct Agent Detail,Đại lý trực tiếp,,,e
26,,ACCOUNTSUM_JS,,直属会员明细,Direct Member Detail,Thành viên trực tiếp,,,
27,,ACCOUNTSUM_JS,,会员总赢,Total Win,Tổng thắng,,,
28,,ACCOUNTSUM_JS,,明细列表,Detail List,Chi tiết,,,
29,,ACCOUNTSUM_JS,,交易明细,Transactions,Lịch sử đặt cược,,,
30,,ACCOUNTSUM_JS,,会员,Member,Thành viên,,,
31,,ACCOUNTSUM_JS,,今日明细,Today Details,Chi tiết,,,
32,,ACCOUNTSUM_JS,,明细列表,Detail,Chi tiết,,,
33,,ACCOUNTSUM_JS,,交上线投注金额,,Tiền cược chia cấp trên,Upline Bet Amt,,
34,,ACCOUNTSUM_JS,,交上线洗码量,Upline Comm Base,Cược hợp lệ chia cấp trên,,,
35,,ACCOUNTSUM_JS,,每日明细,Daily Detail,chi tiết mỗi ngày,,,
36,,ACCOUNTSUM_JS,,从,From,Từ,,,
37,,ACCOUNTSUM_JS,,到,To,Đến,,,
38,,ACCOUNTSUM_JS,,返回,Back,Quay lại,,,
39,,ACCOUNTSUM_JS,,日  期,Date,Ngày,,,
40,,ACCOUNTSUM_JS,,洗码类别,Type,Loại,,,
41,,ACCOUNTSUM_JS,,占成,Share,Tỉ lệ chia,,,
42,,ACCOUNTSUM_JS,,汇率,Exchange Rate,Tỉ lệ quy đổi,,,
43,,ACCOUNTSUM_JS,,交上线金额,Upline Amount,Tiền chia cấp trên,,,
44,,ACCOUNTSUM_JS,,我的总帐查询-会员从,General account query - Member from,Kiểm tra tổng tài khoản - Thành viên,,,
45,,ACCOUNTSUM_JS,,的每日明细,Daily Detail,Chi tiết mỗi ngày,,,
46,,ACCOUNTSUM_JS,,会员总赢,Member Total Win,Tổng thắng của thành viên,,,
47,,ACCOUNTSUM_JS,,获利比,Share Rate,Tỷ lệ chia,,,
48,,ACCOUNTSUM_JS,,我的总帐查询-会员,General account query - Member from,Kiểm tra tổng tài khoản-Thành viên,,,
49,,ACCOUNTSUM_JS,,交易明细,Transaction Details,Chi tiết giao dịch,,,
50,,ACCOUNTSUM_JS,,会员电子每日交易明細,Member E game daily transaction details,Chi tiết giao dịch game điện tử,,,
51,,CHANGEPASS_JS,,请输入您的旧密码！,Please enter original password！,Vui lòng nhập mật khẩu!,,,
